building_type,apartment_condition,rooms,layout,housing_stock,author,price,developer,balcony,parcing_space,bathroom,living,total_floors,floor,region,city,sector,street,area
,,2-х комнатная квартира,,Вторичный,Агентство,88900.0,,,,,,4,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Minsk -,46
Kотельцовый,Eвроремонт,1-комнатная квартира,,Новострой,Агентство,96000.0,,,Oткрытое,1,Квартира с ливингом,6,1.0,Кишинёв мун.,Криково,Центр,str. Chişinău 62,48
,Eвроремонт,2-х комнатная квартира,,Новострой,Застройщик,133500.0,Estate Invest Company,,,,Квартира без ливинга,10,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 68,47
Kомбинированный,Eвроремонт,2-х комнатная квартира,,Новострой,Частное лицо,240000.0,Exfactor-grup,1,,2,Квартира с ливингом,10,3.0,Кишинёв мун.,Кишинёв,Ботаника,str. Hristo Botev 6,102
,Eвроремонт,2-х комнатная квартира,135,Вторичный,Застройщик,109800.0,,1,Oткрытое,1,Квартира без ливинга,9,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 65/3,54
,,2-х комнатная квартира,,Вторичный,Агентство,78800.0,,1,,,,9,7.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Алба-Юлия 202/2,54
,,2-х комнатная квартира,,Новострой,Агентство,187000.0,,,,,,12,6.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия 77/2,75
,,2-х комнатная квартира,,Новострой,Агентство,177900.0,,,,,,5,3.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия 17/A,83
,Eвроремонт,2-х комнатная квартира,,Новострой,Застройщик,135000.0,,,Oткрытое,,Квартира с ливингом,16,16.0,Кишинёв мун.,Кишинёв,Ботаника,str. Sarmizegetusa 23,80
,,3-х комнатная квартира,,Новострой,Агентство,190000.0,,,,,,10,9.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin ---,81
,,3-х комнатная квартира,,Новострой,Агентство,102000.0,,,Oткрытое,2,,12,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble -,68
,Eвроремонт,3-х комнатная квартира,,Вторичный,Агентство,114900.0,,,,,,14,11.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Voda 23,69
Kирпичный,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,116000.0,,2,Подземная,,Квартира с ливингом,7,7.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 3,80
,Белый вариант,4-x комнатная квартира,Индивидуальная,Новострой,Агентство,286000.0,,1,Подземная,3,,12,12.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/3,159
Kирпичный,Eвроремонт,2-х комнатная квартира,,Новострой,Агентство,126000.0,Estate Invest Company,,Подземная,1,Квартира с ливингом,11,10.0,Кишинёв мун.,Кишинёв,Телецентр,str. Ialoveni 102,63
,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Агентство,63500.0,,1,Подземная,1,Квартира с ливингом,15,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo .,53
,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Агентство,66950.0,,Нет,Oткрытое,1,Квартира с ливингом,9,5.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,52
Kирпичный,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,104900.0,Estate Invest Company,1,Подземная,2,Квартира с ливингом,10,5.0,Кишинёв мун.,Кишинёв,Чокана,str. Vadul lui Vodă 34,62
Kирпичный,Eвроремонт,2-х комнатная квартира,,Новострой,Агентство,120060.0,Estate Invest Company,,Подземная,1,,9,7.0,Кишинёв мун.,Дурлешты,Центр,str. Ialoveni 136/A,53
Mонолитный,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,85700.0,,1,,1,Квартира с ливингом,11,8.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 140/1,63
Kомбинированный,,2-х комнатная квартира,Индивидуальная,Новострой,Частное лицо,159990.0,Inamstro,1,Подземная,1,Квартира с ливингом,14,9.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Грэдина Ботаникэ 18/1,64
Kотельцовый,Без ремонта,1-комнатная квартира,,Вторичный,Частное лицо,31000.0,A-casa,,Oткрытое,1,,4,2.0,Кишинёв мун.,Кишинёв,Чокана,str. Ișnovăț 11,24
Kирпичный,Eвроремонт,3-х комнатная квартира,,Новострой,Агентство,229000.0,Exfactor-grup,,,,Квартира с ливингом,15,1.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 41/A,92
,Eвроремонт,1-комнатная квартира,,Новострой,Агентство,95900.0,,1,Oткрытое,,,9,5.0,Кишинёв мун.,Дурлешты,Центр,str. Regele Carol 1,42
,Eвроремонт,1-комнатная квартира,,Вторичный,Агентство,55000.0,,,,1,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nicolae Titulescu -,30
,Белый вариант,1-комнатная квартира,,Новострой,Частное лицо,77000.0,Lagmar Impex,1,,1,Квартира с ливингом,10,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 142,56
Mонолитный,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,88200.0,Ecovzor,1,Oткрытое,2,Квартира без ливинга,7,5.0,Кишинёв мун.,Криково,Центр,str. Vasile Alescandri 5,63
Kомбинированный,Eвроремонт,1-комнатная квартира,Индивидуальная,Новострой,Частное лицо,109900.0,Volare Tur,1,Oткрытое,1,Квартира с ливингом,9,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 120/3,44
,,2-х комнатная квартира,,Вторичный,Застройщик,91900.0,,,,,,9,8.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 17,60
Mонолитный,Индивидуальный дизайн,3-х комнатная квартира,Индивидуальная,Новострой,Частное лицо,390000.0,,1,Гараж,2,Квартира с ливингом,11,10.0,Кишинёв мун.,Кишинёв,Ботаника,str. Tudor Strișcă 8/7,163
,Белый вариант,1-комнатная квартира,,Новострой,Частное лицо,45000.0,Sky House,1,,,,13,6.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 8,38
Kотельцовый,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,76354.0,Metropolis City,2,Подземная,2,,7,5.0,Кишинёв мун.,Кишинёв,Ботаника,пр-т Дачия 59,68
,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Частное лицо,51000.0,Estate Invest Company,1,Подземная,1,Квартира с ливингом,12,6.0,Кишинёв мун.,Кишинёв,Телецентр,str. Alexandru Lăpușneanu 5,52
,Сдан в эксплуатацию,1-комнатная квартира,,Новострой,Частное лицо,106999.0,Exfactor-grup,1,,2,Квартира с ливингом,12,5.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,47
,,1-комнатная квартира,,Новострой,Застройщик,99900.0,,,,,Квартира с ливингом,7,5.0,Кишинёв мун.,Дурлешты,Центр,str. Alexandr Orlov 46,48
Kомбинированный,Eвроремонт,3-х комнатная квартира,,Новострой,Агентство,490000.0,,2,Oткрытое,2,Квартира с ливингом,9,9.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nadejda Russo 17,185
,Косметический pемонт,4-x комнатная квартира,Мс (Молд. Серия),Вторичный,Агентство,89500.0,,3,Oткрытое,2,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Cetatea Albă 143,87
Kотельцовый,Eвроремонт,2-х комнатная квартира,,Новострой,Частное лицо,180000.0,,,,,Квартира с ливингом,9,2.0,Кишинёв мун.,Кишинёв,Центр,str. Alexandru cel Bun 108,80
Блочный,Eвроремонт,2-х комнатная квартира,Индивидуальная,Новострой,Частное лицо,153000.0,Silentagro,1,Oткрытое,2,Квартира без ливинга,9,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Nicolai Costin 44/4,67
Kирпичный,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,87580.0,Sky House,1,Подземная,1,,16,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 10,58
Mонолитный,Eвроремонт,1-комнатная квартира,,Вторичный,Агентство,55900.0,,1,,1,,16,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Florilor 32,38
,Eвроремонт,2-х комнатная квартира,Мс (Молд. Серия),Вторичный,Застройщик,114500.0,,,,2,Квартира с ливингом,9,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Onisifor Ghibu 2/3,50
Kомбинированный,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,245000.0,,3,,2,Квартира с ливингом,4,2.0,Кишинёв мун.,Кишинёв,Центр,str. Lacului 0,90
,Белый вариант,1-комнатная квартира,Индивидуальная,Новострой,Агентство,79845.0,,1,Oткрытое,1,Квартира с ливингом,5,1.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești .,53
Kомбинированный,Индивидуальный дизайн,3-х комнатная квартира,Индивидуальная,Новострой,Частное лицо,230000.0,,2,Oткрытое,1,,15,13.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 41/b,92
,Сдан в эксплуатацию,1-комнатная квартира,Индивидуальная,Новострой,Частное лицо,69750.0,,4 и более,,4 и более,,8,3.0,Кишинёв мун.,Дурлешты,Центр,Regina Elisabeta 4,45
,Косметический pемонт,3-х комнатная квартира,,Вторичный,Агентство,117000.0,,1,Oткрытое,2,,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str. Sucevița 31,69
,,2-х комнатная квартира,,Новострой,Частное лицо,140000.0,Eldorado Terra,,,,,15,15.0,Кишинёв мун.,Кишинёв,Центр,str. Nicolae Testemițanu 3/18,73
,Белый вариант,3-х комнатная квартира,,Новострой,Агентство,139900.0,,,,,,17,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Tudor Strișcă 19/2,86
Kотельцовый,Белый вариант,3-х комнатная квартира,,Новострой,Застройщик,121075.0,Astercon,1,Гараж,2,,9,9.0,Кишинёв мун.,Дурлешты,Центр,str. Durlesti 10/B,84
,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,235950.0,Ecovzor,2,,2,Квартира с ливингом,13,13.0,Кишинёв мун.,Кишинёв,Старая Почта,Iazului  38,143
,,1-комнатная квартира,,Новострой,Застройщик,45000.0,,,,,,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 94,42
,Индивидуальный дизайн,3-х комнатная квартира,,Новострой,Частное лицо,199900.0,,,,,Квартира с ливингом,8,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Pandurilor 42,105
Ячеистый Бетон,Белый вариант,3-х комнатная квартира,,Новострой,Застройщик,135646.0,Astercon,Нет,Гараж,2,,6,1.0,Кишинёв мун.,Дурлешты,Центр,str. Durlești 8,96
,Eвроремонт,2-х комнатная квартира,,Новострой,Частное лицо,198000.0,Horus,,,,Квартира с ливингом,15,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Matei Basarab 1/1,86
Панельный,Нуждается в ремонте,1-комнатная квартира,,Вторичный,Частное лицо,57000.0,,1,,,,9,6.0,Кишинёв мун.,Кишинёв,Аэропорт,bd. Dacia 60/5,42
,Белый вариант,3-х комнатная квартира,,Новострой,Частное лицо,296400.0,,,Oткрытое,1,,12,3.0,Кишинёв мун.,Кишинёв,Центр,str. Ciuflea 1,78
,Eвроремонт,2-х комнатная квартира,,Новострой,Частное лицо,157000.0,Gonvaro-Con,2,,1,Квартира с ливингом,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Vasile Alecsandri 11,72
Панельный,Косметический pемонт,3-х комнатная квартира,Мс (Молд. Серия),Вторичный,Агентство,96500.0,,3,Oткрытое,2,,9,6.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Cuza Vodă /,72
,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,101000.0,,1,Oткрытое,2,Квартира с ливингом,10,2.0,Кишинёв мун.,Кишинёв,Чокана,ул. Вадул луй Водэ 30,64
Kомбинированный,Eвроремонт,2-х комнатная квартира,,Новострой,Агентство,118000.0,,Нет,Oткрытое,,,11,3.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле 257,60
,Белый вариант,2-х комнатная квартира,,Новострой,Частное лицо,235000.0,,,Подземная,1,Квартира с ливингом,7,3.0,Кишинёв мун.,Кишинёв,Центр,str. Moara Roșie 5/D,101
,Eвроремонт,3-х комнатная квартира,135,Вторичный,Агентство,123900.0,,2,,2,,9,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 1/2,70
Mонолитный,Косметический pемонт,1-комнатная квартира,Индивидуальная,Новострой,Застройщик,56800.0,,Нет,Oткрытое,1,,14,10.0,Кишинёв мун.,Ставчены,Центр,str. Unirii 20,42
Kомбинированный,Eвроремонт,2-х комнатная квартира,Индивидуальная,Новострой,Агентство,167500.0,Maxmod Imobil,,Подземная,1,Квартира с ливингом,7,3.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Виссарион Белинский 71,64
Mонолитный,Eвроремонт,3-х комнатная квартира,,Новострой,Агентство,235000.0,Exfactor-grup,1,Oткрытое,1,Квартира с ливингом,9,7.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Василе Лупу 28,90
,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,158800.0,Exfactor-grup,,Подземная,2,Квартира с ливингом,16,12.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 41/A,71
Kирпичный,Eвроремонт,2-х комнатная квартира,,Новострой,Застройщик,169000.0,,1,Подземная,2,Квартира с ливингом,12,2.0,Кишинёв мун.,Кишинёв,Буюканы,bd. Alba-Iulia 113,68
,Eвроремонт,2-х комнатная квартира,,Новострой,Застройщик,125000.0,,,,,,10,8.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 159/A,57
,Индивидуальный дизайн,2-х комнатная квартира,,Новострой,Частное лицо,130000.0,Kirsan,,,,,9,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 40/2,69
,Без ремонта,1-комнатная квартира,Индивидуальная,Вторичный,Агентство,62000.0,,Нет,Oткрытое,1,,9,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latină .,33
,Eвроремонт,3-х комнатная квартира,Мс (Молд. Серия),Вторичный,Частное лицо,138800.0,,,,,,9,1.0,Кишинёв мун.,Кишинёв,Центр,str. Albisoara 30/1,75
,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,86250.0,,,,,Квартира с ливингом,10,2.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 97/3,69
,,3-х комнатная квартира,,Вторичный,Частное лицо,120000.0,,,Oткрытое,,Квартира с ливингом,1,1.0,Кишинёв мун.,Кишинёв,Центр,str. București 15,89
,,1-комнатная квартира,,Новострой,Застройщик,82000.0,Varicom,,,,,10,3.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo 13a,41
,,1-комнатная квартира,,Новострой,Застройщик,78900.0,,,,,,18,12.0,Кишинёв мун.,Кишинёв,Центр,str. Tudor Vladimirescu 1a,45
Kотельцовый,Индивидуальный дизайн,3-х комнатная квартира,Индивидуальная,Новострой,Агентство,330000.0,Exfactor-grup,1,Гараж,2,Квартира с ливингом,10,8.0,Кишинёв мун.,Кишинёв,Центр,str. Lev Tolstoi 63,110
,,1-комнатная квартира,,Новострой,Агентство,139900.0,,,,,Квартира с ливингом,14,13.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,50
,Белый вариант,2-х комнатная квартира,,Новострой,Агентство,99500.0,Solomon Construct Imobil,1,,1,Квартира с ливингом,12,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Jubiliară 39/1,60
,Eвроремонт,2-х комнатная квартира,,Новострой,Застройщик,108900.0,Kirsan,,,,,4,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Așhabad 2,56
,Eвроремонт,2-х комнатная квартира,,Вторичный,Агентство,89900.0,,1,,1,Квартира с ливингом,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Nicolae Titulescu 53/2,46
,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,78180.0,,1,Oткрытое,,,10,6.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 99/7,63
Kотельцовый,Индивидуальный дизайн,1-комнатная квартира,Индивидуальная,Новострой,Застройщик,78900.0,,Нет,Oткрытое,1,,5,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Alexandru Marinescu 51,35
Панельный,Косметический pемонт,1-комнатная квартира,,Вторичный,Застройщик,66500.0,,1,,1,,9,5.0,Кишинёв мун.,Кишинёв,Рышкановка,bd. Moscova 20,35
Kирпичный,Белый вариант,5-ти комн. кварт. и более,,Новострой,Застройщик,308950.0,EDEN,2,Подземная,2,Квартира с ливингом,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,str. Belgrad 36,167
Kирпичный,Белый вариант,1-комнатная квартира,,Новострой,Застройщик,61050.0,EDEN,,Подземная,1,Квартира с ливингом,9,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Belgrad 36,33
Kирпичный,Белый вариант,5-ти комн. кварт. и более,,Новострой,Застройщик,372450.0,NG Invest,2,Подземная,2,Квартира с ливингом,25,,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,191
Kирпичный,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,86950.0,EDEN,1,Подземная,,,9,6.0,Кишинёв мун.,Кишинёв,Ботаника,str. Belgrad 36,47
Kирпичный,Белый вариант,2-х комнатная квартира,,Новострой,Застройщик,140400.0,NG Invest,,Подземная,2,Квартира с ливингом,25,14.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,72
Kирпичный,Белый вариант,1-комнатная квартира,,Новострой,Застройщик,68250.0,NG Invest,Нет,Подземная,,,25,13.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Spartacus 36,35
,,1-комнатная квартира,,Новострой,Агентство,105000.0,,,,,,13,11.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба-Юлия 76/22,52
