rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
3-х комнатная квартира,,Мс (Молд. Серия),139000.0,,2,,Eвроремонт,Частное лицо,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Буюканы,str. Onisifor Ghibu 2,78
3-х комнатная квартира,Подземная,,177000.0,1,2,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,,11,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 257,85
2-х комнатная квартира,,,82900.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,3.0,Кишинёв мун.,Дурлешты,Центр,str. Atelierilor 23,59
1-комнатная квартира,,,49900.0,1,1,Квартира с ливингом,Белый вариант,Частное лицо,Kомбинированный,Новострой,Nicons,10,8.0,Расположение,,,,42
1-комнатная квартира,,,73000.0,,,,Eвроремонт,Застройщик,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo 17/1,42
2-х комнатная квартира,,,98000.0,,1,,Eвроремонт,Агентство,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Телецентр,str.Drumul Viilor 43 43,47
2-х комнатная квартира,,,109900.0,,,Квартира с ливингом,Белый вариант,,,Новострой,,10,7.0,Кишинёв мун.,Кишинёв,Буюканы,str. Calea Ieșilor 63/6,84
2-х комнатная квартира,,,84500.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,4.0,Кишинёв мун.,Дурлешты,Центр,str. Cartuşa 93/2,79
2-х комнатная квартира,,,7690079060.0,1,1,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,10,1.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,72
2-х комнатная квартира,,,159900.0,2,1,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,Gonvaro-Con,9,8.0,Кишинёв мун.,Кишинёв,Центр,str. Vasile Alecsandri 11,72
1-комнатная квартира,Подземная,,46150.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,Golban Trade,9,5.0,Кишинёв мун.,Дурлешты,Окраина,ул. Николае Димо 101,40
2-х комнатная квартира,,,7703079190.0,1,2,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,10,1.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,72
2-х комнатная квартира,,,7438274383.0,,,Квартира с ливингом,,Застройщик,,Новострой,,10,7.0,Кишинёв мун.,Криково,Центр,str. Calea Basarabiei 2,75
