rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
2-х комнатная квартира,Oткрытое,,137900.0,1,1,Квартира без ливинга,Eвроремонт,Агентство,,Новострой,Eldorado Terra,14,2.0,Кишинёв мун.,Кишинёв,Центр,ул. Николае Тестемицану 3/9,83
1-комнатная квартира,Oткрытое,,79900.0,1,1,Квартира с ливингом,Сдан в эксплуатацию,Застройщик,Kотельцовый,Новострой,Sky House,9,7.0,Кишинёв мун.,Кишинёв,Ботаника,str. Băcioii Noi 14,38
2-х комнатная квартира,,,79500.0,,1,,,Агентство,,Вторичный,,10,10.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Miron Costin .,45
2-х комнатная квартира,,,71000.0,1,1,Квартира с ливингом,Нуждается в ремонте,Агентство,,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Телецентр,str. Constantin Vârnav 20/1,60
2-х комнатная квартира,,,47736.0,1,1,,Незавершенное cтроительство,Застройщик,,Новострой,,10,7.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,47
1-комнатная квартира,,,73700.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,16,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Calea Mosilor .,46
2-х комнатная квартира,Oткрытое,Индивидуальная,89900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,1.0,Расположение,,,,46
3-х комнатная квартира,,,96900.0,2,2,,,Агентство,,Вторичный,,9,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 199,69
1-комнатная квартира,,,86500.0,,,,,Частное лицо,,Новострой,Erinvest,8,5.0,Яловены,Яловены,Центр,str. Alexandru cel Bun 2/6,46
2-х комнатная квартира,Oткрытое,Брж (Брежневка),130000.0,1,1,,,Застройщик,Kотельцовый,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Рышкановка,MOSCOVEI ',74
1-комнатная квартира,,,40900.0,,,,Косметический pемонт,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Ботаника, Bd. Cuza Vodă 8,38
1-комнатная квартира,,,30500.0,,1,,Белый вариант,Частное лицо,Kотельцовый,Вторичный,,3,3.0,Расположение,,,,28
1-комнатная квартира,Подземная,,63900.0,2,,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,,5,3.0,Кишинёв мун.,Кишинёв,Телецентр,str. Schinoasa-Vale 3,45
2-х комнатная квартира,Подземная,Индивидуальная,85700.0,2,1,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,Lagmar Impex,16,14.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Calea Moșilor 4,54
3-х комнатная квартира,Oткрытое,На земле,144000.0,1,1,Квартира с ливингом,Cерый вариант,Застройщик,Kомбинированный,Новострой,Basconslux,1,1.0,Кишинёв мун.,Кишинёв,Ботаника,Dacia 77,88
1-комнатная квартира,Oткрытое,,74000.0,,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,9,3.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia .,51
1-комнатная квартира,Oткрытое,,65700.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Lagmar Impex,9,4.0,Кишинёв мун.,Кишинёв,Старая Почта,ул. Чеукарь 84,44
1-комнатная квартира,,,106900.0,1,1,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,Golban Trade,9,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Mihail Odatiuc 36,42
2-х комнатная квартира,,,165000.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,21,12.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân .,72
3-х комнатная квартира,,,123500.0,1,2,Квартира с ливингом,Белый вариант,,,Новострой,Exfactor-grup,9,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ion Buzdugan 13,88
4-x комнатная квартира,Подземная,Индивидуальная,415000.0,1,2,,Eвроремонт,Агентство,,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Центр,31 August 1989 64,142
1-комнатная квартира,,,42500.0,,,,Eвроремонт,Агентство,,Вторичный,,9,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Sarmizegetusa 94/1,24
Комната,,,16000.0,,,,,Частное лицо,Блочный,Вторичный,,5,4.0,Бельцы мун.,Бельцы,Кишиневский мост,str-la Chișinăului 5,18
2-х комнатная квартира,,,220000.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Flormin-Com,10,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Onisifor Ghibu 10,65
4-x комнатная квартира,Oткрытое,Брж (Брежневка),107000.0,1,2,Квартира с ливингом,Eвроремонт,Частное лицо,Kотельцовый,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ion Creangă 78,80
2-х комнатная квартира,,,146900.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,7,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Durlești .,68
1-комнатная квартира,,,130000.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,7,2.0,Кишинёв мун.,Кишинёв,Центр,str. Lev Tolstoi 13 13,46
2-х комнатная квартира,Oткрытое,,64900.0,,1,,Eвроремонт,Агентство,,Вторичный,,7,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Sucevita .,44
3-х комнатная квартира,Oткрытое,Индивидуальная,225000.0,,1,Квартира с ливингом,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,,8,2.0,Яловены,Яловены,Центр, str. Alexandru cel Bun 28/3,75
2-х комнатная квартира,Oткрытое,,174900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Lagmar Impex,12,9.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Cornești 10,65
3-х комнатная квартира,Подземная,Мс (Молд. Серия),129900.0,2,2,Квартира без ливинга,Eвроремонт,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spătaru 3,71
3-х комнатная квартира,Oткрытое,,280000.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,10.0,Кишинёв мун.,Кишинёв,Чокана,ул. Николае Милеску-Спэтарул 57,126
1-комнатная квартира,Oткрытое,,82000.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Horus,16,6.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Тудор Владимиреску 1/8,45
3-х комнатная квартира,Oткрытое,,219000.0,Нет,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,13,3.0,Кишинёв мун.,Кишинёв,Центр,str. Pan Halippa 6,82
2-х комнатная квартира,Oткрытое,143,105000.0,1,2,Квартира без ливинга,Косметический pемонт,Агентство,Бетон,Вторичный,,9,8.0,Расположение,,,,55
1-комнатная квартира,Oткрытое,,107500.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Exfactor-grup,12,7.0,Расположение,,,,46
2-х комнатная квартира,Oткрытое,,165000.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Basconslux,9,9.0,Кишинёв мун.,Кишинёв,Чокана,пр-т Мирча чел Бэтрын 43/F,70
2-х комнатная квартира,,,115000.0,,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Basconslux,10,9.0,Кишинёв мун.,Кишинёв,Телецентр,ул. Спрынченоая 3/L,73
1-комнатная квартира,Oткрытое,,69900.0,Нет,1,Квартира без ливинга,Eвроремонт,Агентство,Бетон,Новострой,,16,3.0,Кишинёв мун.,Кишинёв,Чокана,пр-т Мирча чел Бэтрын 42,28
2-х комнатная квартира,Oткрытое,,75200.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,16,12.0,Расположение,,,,46
2-х комнатная квартира,Oткрытое,135,106900.0,1,2,Квартира без ливинга,Eвроремонт,Агентство,,Вторичный,,9,9.0,Кишинёв мун.,Кишинёв,Чокана,ул. Михаил Садовяну 4/1,55
2-х комнатная квартира,Oткрытое,,89600.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,16,13.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Каля Мошилор 4,56
2-х комнатная квартира,Oткрытое,,66250.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,4,3.0,Яловены,Яловены,Центр,ул. Григоре Виеру 34,53
2-х комнатная квартира,Oткрытое,,120700.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Horus,18,11.0,Расположение,,,,81
2-х комнатная квартира,Oткрытое,,81500.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,Lagmar Impex,16,5.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Каля Мошилор 4,51
1-комнатная квартира,Oткрытое,,79900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,16,15.0,Кишинёв мун.,Ставчены,Центр,- -,45
2-х комнатная квартира,Oткрытое,,120800.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,18,10.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Тудор Владимиреску 1,81
2-х комнатная квартира,Oткрытое,Мс (Молд. Серия),95900.0,Нет,2,Квартира без ливинга,Eвроремонт,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Чокана,ул. Петру Заднипру 18/1,58
3-х комнатная квартира,Oткрытое,,217500.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Basconslux,10,6.0,Кишинёв мун.,Кишинёв,Чокана,пр-т Мирча чел Бэтрын 43/F,98
2-х комнатная квартира,Oткрытое,,220000.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Exfactor-grup,14,8.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Василе Лупу 28,69
1-комнатная квартира,,,77000.0,1,1,Квартира с ливингом,Белый вариант,Частное лицо,,Новострой,Lagmar Impex,10,2.0,Кишинёв мун.,Кишинёв,Телецентр,șos. Hâncești 142,56
2-х комнатная квартира,,,200000.0,1,2,,Eвроремонт,Агентство,,Новострой,,13,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Mușatinilor .,87
2-х комнатная квартира,Oткрытое,,269900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,20,9.0,Кишинёв мун.,Кишинёв,Центр,ул. Александру Хыждеу 20,73
1-комнатная квартира,Oткрытое,Хрущевка,59900.0,1,1,Квартира с ливингом,Косметический pемонт,Агентство,,Вторичный,,4,3.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Andrei Doga 23,35
2-х комнатная квартира,Oткрытое,Индивидуальная,141000.0,1,2,,Eвроремонт,Агентство,Kотельцовый,Новострой,,7,6.0,Кишинёв мун.,Кишинёв,Буюканы, str. Durlești 10,70
2-х комнатная квартира,Oткрытое,,228000.0,,2,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,Exfactor-grup,9,4.0,Кишинёв мун.,Кишинёв,Буюканы,ул. Ион Буздуган 13,87
2-х комнатная квартира,Oткрытое,,91500.0,1,1,,Eвроремонт,Агентство,,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Gheorghe Madan 46/3,50
2-х комнатная квартира,,Индивидуальная,73600.0,,2,,Белый вариант,Агентство,Kирпичный,Новострой,,12,4.0,Кишинёв мун.,Кишинёв,Телецентр,Ialoveni 136,68
1-комнатная квартира,,,32900.0,,1,,Eвроремонт,Агентство,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Maria Drăgan .,19
1-комнатная квартира,,,109900.0,,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,12,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu  .,51
2-х комнатная квартира,,,125000.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Băcioii Noi 14,54
1-комнатная квартира,,,57810.0,,1,,Белый вариант,Агентство,,Новострой,,10,8.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti .,41
2-х комнатная квартира,,,91800.0,,,,Белый вариант,Агентство,,Новострой,,9,9.0,Кишинёв мун.,Дурлешты,Центр,str. Cartușa 95,119
3-х комнатная квартира,Oткрытое,,230000.0,,2,,Eвроремонт,Агентство,,Новострой,,10,7.0,Кишинёв мун.,Кишинёв,Буюканы,str. Ioana Radu .,88
Комната,Oткрытое,Гостинка,52500.0,,1,,Eвроремонт,Агентство,,Вторичный,,4,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Sarmizegetusa .,21
Комната,,,36900.0,,1,,Eвроремонт,Агентство,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,str.Constantin Brâncuși 146A 146A,19
2-х комнатная квартира,,,7570075701.0,,,Квартира с ливингом,,Застройщик,,Новострой,,10,8.0,Унгены,Унгень,Центр,VASILE LUPU 3A,68
1-комнатная квартира,,,73000.0,,,Квартира с ливингом,,Застройщик,,Новострой,Sky House,10,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Liuba Dumitriu 5,45
2-х комнатная квартира,Подземная,Индивидуальная,143900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,Kомбинированный,Новострой,Pamir Construct,8,7.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гика Водэ 5,54
2-х комнатная квартира,Oткрытое,Индивидуальная,174900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,Kомбинированный,Новострой,Lagmar Impex,12,11.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Cornești 13,65
2-х комнатная квартира,Подземная,Индивидуальная,194900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,Kомбинированный,Новострой,Loid,13,2.0,Кишинёв мун.,Кишинёв,Ботаника,пр-т Куза Водэ 5/1,65
2-х комнатная квартира,Oткрытое,Индивидуальная,195000.0,1,1,,Eвроремонт,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Центр,ул. Митрополит Дософтей 100,55
2-х комнатная квартира,Подземная,Индивидуальная,126750.0,1,2,,Белый вариант,Агентство,Kомбинированный,Новострой,Lagmar Impex,14,11.0,Кишинёв мун.,Кишинёв,Центр,ул. Николае Тестемицану 19,65
1-комнатная квартира,Oткрытое,Индивидуальная,127900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,Kомбинированный,Новострой,Dansicons,11,3.0,Кишинёв мун.,Кишинёв,Центр,ул. Николае Тестемицану 21/3,63
2-х комнатная квартира,Подземная,Индивидуальная,199900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,Kирпичный,Новострой,Exfactor-grup,12,10.0,Кишинёв мун.,Кишинёв,Чокана,пр-т Мирча чел Бэтрын 41/A,67
2-х комнатная квартира,Oткрытое,,164998.0,2,1,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,Varicom,16,14.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Грэдина Ботаникэ 20/1,85
3-х комнатная квартира,,,80000.0,1,2,,Нуждается в ремонте,Агентство,,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Чокана,str. Vasile Varzaru .,70
2-х комнатная квартира,,,113900.0,1,2,,Eвроремонт,Агентство,,Вторичный,,9,7.0,Кишинёв мун.,Кишинёв,Чокана, bd. Mircea cel Bătrân 28/1,50
2-х комнатная квартира,Oткрытое,Индивидуальная,66300.0,,1,Квартира с ливингом,Eвроремонт,Частное лицо,Kотельцовый,Вторичный,,7,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Sucevita 41,41
1-комнатная квартира,,,55000.0,Нет,1,Квартира без ливинга,Eвроремонт,Агентство,,Вторичный,,5,2.0,Расположение,,,,28
1-комнатная квартира,,,66300.0,,1,Квартира с ливингом,Eвроремонт,Частное лицо,Kотельцовый,Вторичный,,7,6.0,Кишинёв мун.,Кишинёв,Буюканы,Str Sucevita 41,41
2-х комнатная квартира,,,215989.0,,,Квартира с ливингом,Eвроремонт,Застройщик,,Новострой,,12,2.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 14,102
1-комнатная квартира,,,67200.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,17,1.0,Кишинёв мун.,Кишинёв,Ботаника,str. Dimineții 20,40
1-комнатная квартира,,,135000.0,,1,,Eвроремонт,Агентство,,Новострой,,13,11.0,Кишинёв мун.,Кишинёв,Центр,str. Calea Ieșilor  6,50
2-х комнатная квартира,,Индивидуальная,220902.0,1,2,,Белый вариант,Агентство,,Новострой,,17,13.0,Кишинёв мун.,Кишинёв,Центр,str. Pietrariei 56,100
1-комнатная квартира,Oткрытое,Индивидуальная,63700.0,1,1,,Белый вариант,Агентство,,Новострой,Lagmar Impex,9,3.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 142,42
2-х комнатная квартира,,,85500.0,,,,,Частное лицо,,Новострой,,6,2.0,Кишинёв мун.,Кишинёв,Буюканы,Hora 1,59
3-х комнатная квартира,,,284900.0,,,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,9,9.0,Кишинёв мун.,Кишинёв,Телецентр,str. Pietrarilor 16/1,92
2-х комнатная квартира,,,99700.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,16,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Calea Mosilor 4,64
2-х комнатная квартира,,,114500.0,,2,,Eвроремонт,Агентство,,Вторичный,,9,3.0,Кишинёв мун.,Кишинёв,Чокана,"bd. Mircea cel Batran ,",53
2-х комнатная квартира,,,104989.0,,,Квартира с ливингом,Белый вариант,Застройщик,,Новострой,,10,2.0,Кишинёв мун.,Кишинёв,Чокана,str. Nicolae Milescu Spătarul 27,56
3-х комнатная квартира,Oткрытое,,170000.0,1,1,,Нуждается в ремонте,Агентство,,Новострой,,10,8.0,Кишинёв мун.,Кишинёв,Чокана,str. Mihail Sadoveanu .,93
1-комнатная квартира,,,69900.0,,1,,Eвроремонт,Агентство,,Новострой,,17,3.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Batran .,28
2-х комнатная квартира,,,80800.0,,,Квартира с ливингом,,Частное лицо,,Новострой,Lagmar Impex,9,4.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 142,57
2-х комнатная квартира,Oткрытое,,120600.0,,1,,Белый вариант,Агентство,,Новострой,,16,2.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latina .,80
3-х комнатная квартира,,,98500.0,2,2,,Нуждается в ремонте,Агентство,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu .,66
2-х комнатная квартира,,,140000.0,1,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,14,9.0,Кишинёв мун.,Кишинёв,Буюканы,Vasile Lupu  .,68
2-х комнатная квартира,,,159500.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,2.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu .,66
3-х комнатная квартира,Подземная,,172000.0,2,2,,Eвроремонт,Агентство,,Новострой,,9,4.0,Кишинёв мун.,Кишинёв,Буюканы, bd. Alba Iulia  128,80
2-х комнатная квартира,,,57900.0,1,2,,,Агентство,,Вторичный,,5,4.0,Кишинёв мун.,Кишинёв,Ботаника,str. Salcâmilor 22,47
1-комнатная квартира,,,59000.0,,1,,Eвроремонт,Агентство,,Вторичный,,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Гренобле .,36
1-комнатная квартира,Oткрытое,,56000.0,,1,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Nicolae Dimo .,32
2-х комнатная квартира,,,94900.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,,Вторичный,,5,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Sarmizegetusa .,47
1-комнатная квартира,,,47900.0,,1,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,ул. Николай Зелински .,21
2-х комнатная квартира,,,119000.0,1,1,,Белый вариант,Агентство,,Новострой,,21,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu .,66
1-комнатная квартира,,,77900.0,,1,,Белый вариант,Агентство,,Новострой,,16,7.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latina .,52
2-х комнатная квартира,,,141840.0,1,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,12,10.0,Расположение,,,,79
1-комнатная квартира,,,3690038900.0,,,,Eвроремонт,Агентство,,Вторичный,,7,2.0,Кишинёв мун.,Кишинёв,Телецентр,str. Vasile Cheltuială 9/2,20
1-комнатная квартира,,,66000.0,,,Квартира с ливингом,Eвроремонт,Частное лицо,,Новострой,,6,5.0,Криуляны,Криуляны,Центр,bd. Biruinței 20,40
2-х комнатная квартира,Oткрытое,,89900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Ботаника,NICOLAE TITULESCU  .,45
3-х комнатная квартира,,,83600.0,,,,,Застройщик,,Вторичный,,5,3.0,Кишинёв мун.,Кишинёв,Центр,bd. Iuri Gagarin 5/3,56
1-комнатная квартира,,,33000.0,,1,,Eвроремонт,Агентство,,Вторичный,,6,5.0,Кишинёв мун.,Кишинёв,Чокана,str. Maria Drăgan .,15
2-х комнатная квартира,Подземная,Индивидуальная,121450.0,1,1,Квартира с ливингом,Белый вариант,Застройщик,Kомбинированный,Новострой,A-casa,5,4.0,Кишинёв мун.,Кишинёв,Буюканы,str-la Bisericii 1,70
2-х комнатная квартира,Oткрытое,,94900.0,,1,,Eвроремонт,Агентство,,Вторичный,,7,5.0,Яловены,Яловены,Центр,str. Alexandru cel Bun .,47
3-х комнатная квартира,,Индивидуальная,30000.0,1,1,,Сдан в эксплуатацию,Частное лицо,Kотельцовый,Вторичный,,2,2.0,Расположение,,,,155
1-комнатная квартира,,,89500.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,6,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Iurie Babei .,45
1-комнатная квартира,,,96000.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,10,3.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu .,33
1-комнатная квартира,,,60300.0,,1,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,18,12.0,Кишинёв мун.,Кишинёв,Ботаника,Diminetii .,37
3-х комнатная квартира,,,127100.0,,2,Квартира с ливингом,Белый вариант,Агентство,,Новострой,,10,6.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vadul lui Voda .,82
1-комнатная квартира,,,65000.0,,1,,Нуждается в ремонте,Агентство,,Вторичный,,1,1.0,Кишинёв мун.,Кишинёв,Старая Почта,str-la Studenților .,43
3-х комнатная квартира,Oткрытое,Индивидуальная,215000.0,1,2,Квартира с ливингом,Eвроремонт,Агентство,Ячеистый Бетон,Новострой,Exfactor-grup,13,13.0,Кишинёв мун.,Кишинёв,Буюканы,пр-т Алба Юлия 113,101
2-х комнатная квартира,Oткрытое,,77000.0,1,1,,Нуждается в ремонте,Агентство,,Вторичный,,2,,Кишинёв мун.,Кишинёв,Центр, str. Gheorghe Asachi  27,140
1-комнатная квартира,,,129900.0,1,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,9,5.0,Кишинёв мун.,Кишинёв,Центр,ул. Лев Толстой .,35
3-х комнатная квартира,,,87000.0,,,Квартира с ливингом,Белый вариант,Частное лицо,,Новострой,,9,5.0,Кишинёв мун.,Дурлешты,Центр,Cartușa 95/2,75
