rooms,bathroom,apartment_condition,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
3.0,2.0,4.0,5,2.0,98,1503.061224489796,0.4,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,46.9848405,28.7749532,3774.504911116361,0,46.9848405,28.7749532,3774.504911116361,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,4.0,5,2.0,53,1607.5471698113208,0.4,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,46.9848405,28.7749532,3774.504911116361,0,46.9848405,28.7749532,3774.504911116361,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,4.0,10,9.0,43,2534.8837209302324,0.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0310499,28.7697398,7983.128448161052,0,47.0310499,28.7697398,7983.128448161052,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,0.0,6,4.0,65,1200.0,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,1,47.0221197,28.8408695,1802.2657073879273,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3.0,2.0,4.0,9,8.0,78,1782.051282051282,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.038038,28.7780547,1893.3806555162766,0,47.038038,28.7780547,1893.3806555162766,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3.0,2.0,4.0,11,7.0,85,2082.3529411764707,0.6363636363636364,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,46.9732217,28.8500713,1670.0810524037508,0,46.9732217,28.8500713,1670.0810524037508,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,0.0,10,3.0,59,1405.084745762712,0.3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0182004,28.7437358,1463.0913335115533,0,47.0182004,28.7437358,1463.0913335115533,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,5,5.0,42,1738.095238095238,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,47.0425434,28.8680854,814.8071477233685,0,47.0425434,28.8680854,814.8071477233685,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,4.0,5,3.0,47,2085.1063829787236,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0085407,28.8173794,616.7690372427713,0,47.0085407,28.8173794,616.7690372427713,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2.0,1.0,0.0,10,7.0,84,1308.3333333333333,0.7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0445787,28.7810498,1775.1957931674722,0,47.0445787,28.7810498,1775.1957931674722,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2.0,1.0,0.0,10,4.0,79,1069.620253164557,0.4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0157079,28.7467119,1287.9214065227593,0,47.0157079,28.7467119,1287.9214065227593,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,1.0,4.0,10,1.0,72,1068.0555555555557,0.1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,1.0,4.0,9,8.0,72,2220.8333333333335,0.8888888888888888,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,47.0084759,28.8271332,1765.1918401777496,0,47.0084759,28.8271332,1765.1918401777496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,0.0,9,5.0,40,1153.75,0.5555555555555556,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,47.0152396,28.7514441,970.7299177288405,0,47.0152396,28.7514441,970.7299177288405,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.0,2.0,4.0,10,1.0,72,1069.861111111111,0.1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0132668,28.7511952,1098.787581805104,0,47.0132668,28.7511952,1098.787581805104,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,1.0,4.0,10,7.0,75,991.76,0.7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.126153,28.8643878,1329.6525159660753,0,47.126153,28.8643878,1329.6525159660753,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,22,9.0,41,1585.3658536585365,0.4090909090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0047605,28.8419936,2074.232315371447,0,47.0047605,28.8419936,2074.232315371447,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,0.0,10,2.0,42,1416.6666666666667,0.2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0671618,28.8429777,2525.6415028708025,0,47.0671618,28.8429777,2525.6415028708025,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,4.0,18,12.0,45,1753.3333333333333,0.6666666666666666,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.026051,28.8651524,2523.2540009396675,0,47.026051,28.8651524,2523.2540009396675,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.0,4.0,5,1.0,30,1866.6333333333334,0.2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46.9630578,28.8341304,4627.574680547503,0,46.9630578,28.8341304,4627.574680547503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,1.0,4.0,6,5.0,42,2545.2380952380954,0.8333333333333334,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,47.0115012,28.7594592,875.9734701614775,0,47.0115012,28.7594592,875.9734701614775,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,1.0,4.0,6,5.0,42,2545.2380952380954,0.8333333333333334,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,47.0069885,28.7611239,1343.1705028578199,0,47.0069885,28.7611239,1343.1705028578199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,1.0,4.0,10,1.0,72,1776.388888888889,0.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.00349,28.8656429,1935.5606931256166,0,47.00349,28.8656429,1935.5606931256166,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,5,1.0,21,2138.095238095238,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0409034,28.8640632,903.8979289672052,0,47.0409034,28.8640632,903.8979289672052,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3.0,1.0,4.0,10,9.0,87,997.7011494252873,0.9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.0132735,28.7519437,1052.6334894108904,0,47.0132735,28.7519437,1052.6334894108904,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,2.0,0.0,9,4.0,75,1230.0,0.4444444444444444,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,47.0671618,28.8429777,2883.416986828092,0,47.0671618,28.8429777,2883.416986828092,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,4.0,9,8.0,64,2342.1875,0.8888888888888888,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,47.1049348,28.8328393,8766.18220834624,0,47.1049348,28.8328393,8766.18220834624,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,2.0,9,6.0,34,1617.6470588235295,0.6666666666666666,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47.0076556,28.891605,3157.9334894072604,0,47.0076556,28.891605,3157.9334894072604,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.0,1.0,4.0,14,10.0,68,3233.823529411765,0.7142857142857143,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0433126,28.7934948,865.300793569499,0,47.0433126,28.7934948,865.300793569499,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
