bathroom,rooms,apartment_condition,Тип участка,Площадь земли,Состояние дома,Тип помещения,Площадь участка,Этажность,Балкон,Водопровод,Состояние помещения,Газификация,Канализация,total_floors,floor,area,price_per_sqm,floor_ratio,has_balcony,has_living,building_type_Kомбинированный,building_type_Kотельцовый,building_type_Mонолитный,building_type_Бетон,building_type_Блочный,building_type_Панельный,building_type_Ячеистый Бетон,housing_stock_Новострой,author_Банк,author_Застройщик,author_Частное лицо,parcing_space_Гараж,parcing_space_Под навесом,parcing_space_Подземная,latitude,longitude,distance_to_sector_center,geocode_missing,latitude_for_model,longitude_for_model,distance_to_sector_center_for_model,bathroom_missing,apartment_condition_missing,rooms_missing,floor_ratio_missing,city_Дурлешты,city_Кишинёв,city_Криково,city_Ставчены,sector_str. Nicolae Dimo,sector_Аэропорт,sector_Ботаника,sector_Буюканы,sector_Окраина,sector_Рышкановка,sector_Скулянка,sector_Старая Почта,sector_Телецентр,sector_Центр,sector_Чокана
1.0,3.0,0.0,,,,,,,2.0,,,,,15.0,14.0,84.0,1379.7619047619048,0.9333333333333333,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,46.9905944,28.8715357,1361.0073456219768,0,46.9905944,28.8715357,1361.0073456219768,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,9.0,1.0,34.0,1761.764705882353,0.1111111111111111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.975201,28.8642653,1622.3069529056206,0,46.975201,28.8642653,1622.3069529056206,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,18.0,16.0,38.0,1803.0263157894738,0.8888888888888888,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0024789,28.8647052,1803.1127542630766,0,47.0024789,28.8647052,1803.1127542630766,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,4.0,0.0,,,,,,,2.0,,,,,12.0,12.0,171.0,1800.0,1.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,46.9725661,28.8495402,1749.203582347843,0,46.9725661,28.8495402,1749.203582347843,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,0.0,,,,,,,2.0,,,,,10.0,7.0,48.0,1407.2916666666667,0.7,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,46.9980787,28.8078475,883.848218632378,0,46.9980787,28.8078475,883.848218632378,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,3.0,41.0,3048.7804878048782,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,1,47.0225368,28.844226,1678.113886189654,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,4.0,,,,,,,2.0,,,,,8.0,2.0,31.0,2564.516129032258,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0014959,28.7778428,2974.0581887751728,0,47.0014959,28.7778428,2974.0581887751728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,9.0,7.0,69.0,2246.376811594203,0.7777777777777778,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,47.0018233,28.779761,2826.9126870943737,0,47.0018233,28.779761,2826.9126870943737,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,2.0,4.0,,,,,,,2.0,,,,,10.0,5.0,68.0,2205.8823529411766,0.5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,1,47.0225368,28.844226,1678.113886189654,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,2.0,4.0,,,,,,,2.0,,,,,11.0,9.0,65.0,2690.769230769231,0.8181818181818182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47.0353867,28.8521648,1722.056248734181,0,47.0353867,28.8521648,1722.056248734181,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
